iter	MultiClass
0	1.56545815
1	1.319018251
2	1.155388172
3	1.024953492
4	0.9250517802
5	0.8434202928
6	0.7745356186
7	0.7158014252
8	0.6636258882
9	0.6185632463
10	0.5780433357
11	0.5432351168
12	0.5154031372
13	0.4867958333
14	0.4637071341
15	0.4426692607
16	0.4232682626
17	0.4046401429
18	0.3877515892
19	0.3733599813
20	0.3602354348
21	0.3485960016
22	0.3378272999
23	0.3281871406
24	0.3195742833
25	0.3114724899
26	0.3034313619
27	0.2961357888
28	0.2896738621
29	0.2837742168
30	0.2785217822
31	0.2737556514
32	0.2692805925
33	0.2646135539
34	0.2597516023
35	0.2552512763
36	0.252719796
37	0.2498590916
38	0.2463684737
39	0.2426218437
40	0.2402067112
41	0.2372170079
42	0.2349627397
43	0.2320719442
44	0.2300020925
45	0.2278423431
46	0.2259398316
47	0.2240816698
48	0.2218790363
49	0.2201681536
50	0.2182290328
51	0.2167515278
52	0.215293008
53	0.2138570516
54	0.2126405106
55	0.2113943681
56	0.2099718323
57	0.2087441012
58	0.2073677124
59	0.2061323166
60	0.2048503624
61	0.2036298213
62	0.2024168446
63	0.2016819304
64	0.2009756006
65	0.1999430095
66	0.1992140315
67	0.1984493719
68	0.1974718076
69	0.1966789628
70	0.1957671303
71	0.1949488542
72	0.1942687865
73	0.1937563737
74	0.1928303233
75	0.1921636285
76	0.1912402523
77	0.1905459419
78	0.1897286202
79	0.1892064755
80	0.1886607841
81	0.1880108865
82	0.187245764
83	0.1868464255
84	0.1861476777
85	0.1857448405
86	0.1851868942
87	0.1846903041
88	0.1841692856
89	0.1835839967
90	0.1830477259
91	0.1825902487
92	0.1819997005
93	0.1814524585
94	0.181023192
95	0.1805647238
96	0.1801523825
97	0.1795643195
98	0.1788967858
99	0.1784021458
