iter	Passed	Remaining
0	36	3619
1	61	3014
2	90	2919
3	114	2736
4	138	2633
5	163	2560
6	191	2541
7	220	2533
8	246	2490
9	274	2472
10	301	2440
11	330	2426
12	357	2393
13	388	2387
14	417	2368
15	443	2329
16	471	2301
17	498	2272
18	525	2239
19	555	2221
20	583	2196
21	607	2155
22	637	2134
23	663	2100
24	687	2063
25	714	2034
26	742	2006
27	769	1978
28	796	1949
29	823	1922
30	856	1907
31	883	1878
32	909	1845
33	936	1817
34	965	1792
35	994	1768
36	1021	1738
37	1064	1736
38	1152	1802
39	1184	1777
40	1223	1759
41	1253	1731
42	1280	1696
43	1306	1662
44	1333	1629
45	1357	1593
46	1381	1557
47	1408	1525
48	1434	1493
49	1462	1462
50	1488	1429
51	1514	1398
52	1543	1369
53	1571	1338
54	1594	1304
55	1624	1276
56	1648	1243
57	1674	1212
58	1697	1179
59	1723	1148
60	1748	1117
61	1771	1085
62	1795	1054
63	1818	1023
64	1844	993
65	1869	963
66	1895	933
67	1922	904
68	1946	874
69	1975	846
70	2002	817
71	2030	789
72	2061	762
73	2087	733
74	2113	704
75	2137	675
76	2161	645
77	2183	615
78	2207	586
79	2231	557
80	2256	529
81	2278	500
82	2303	471
83	2325	442
84	2352	415
85	2376	386
86	2398	358
87	2423	330
88	2450	302
89	2474	274
90	2496	246
91	2520	219
92	2543	191
93	2567	163
94	2590	136
95	2613	108
96	2636	81
97	2659	54
98	2683	27
99	2708	0
